title_web,job_type,salary,location,summary,company,date,Country,title,website
Medical Front Office Manager,Healthcare Administration,None,"Dothan, AL 36303",Busy pediatric office seeks full time Medical Front Office Manager.Prior Medical Office Management required.Competitive salary and excellent benefit package.,DOTHAN PEDIATRIC CLINIC,5/31/21,United States,Medical office manager,Indeed
Assistant Manager for Dental/Medical Office,Healthcare Administration,"$55,000 a year","Southfield, MI 48033",Must have dental or medical managerial experience.American Mobile Dental has an opportunity for a Full-Time Assistant Manager for Dental/Medical Office to…,Comprehensive Mobile Care,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager/Medical Biller,Healthcare Administration,$17 - $20 an hour,"Vernon Hills, IL 60061","Proven work experience as a medical office manager.Interviews, and hires medical office staff.Maintain medical and staff records.",hawthorn healthcare,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager,Healthcare Administration,None,"Dayton, OH",Manage staffing at multiple satellite offices.All aspects of employee and office management.Must possess good communication skills and critical thinking…,"Drs Alway, Balazs, & Assoc",5/31/21,United States,Medical office manager,Indeed
Medical Office Manager/Medical Admin,Healthcare Administration,$18 - $25 an hour,"San Diego, CA 92120 (College East area)",Proven work experience as a medical office manager.Order medical and office supplies.Medical Office Manager Job Summary Responsible for the operations and…,Dr. A. Shamani INC,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager,Healthcare Administration,"$35,000 - $50,000 a year","Minneapolis, MN 55413 (East Bank-Nicollet Island area)","MUST HAVE medical, dental, spa, salon, optical or chiropractic office experience!!!Daily tasks will include greeting and scheduling patients, calling patients…",Ambiente Gallerie,5/31/21,United States,Medical office manager,Indeed
Clinical Office Manager - Medical Assistant,Healthcare Administration,None,"Milton, FL 32570","Manages office operations and performance to ensure that front office and back office care teams operate in an efficient, accurate and patient-focused manner.",VIPcare,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager,Healthcare Administration,$15 - $16 an hour,"Delta, OH 43515","You will be responsible for delivering high quality management with all aspects of the business, including, but not limited to, multitasking and coordinating…",APPROVED Home Health,5/31/21,United States,Medical office manager,Indeed
Medical Receptionist/Office Manager,Healthcare Administration,$17 - $21 an hour,"New York, NY 10036 (Midtown area)",Must have medical receptionist or manager experience.Medical office: 1 year (Preferred).Be available to work Monday to Friday 10 am to 7 pm.,"Manhattan Medical Wellness, PC",5/31/21,United States,Medical office manager,Indeed
Assistant Project Manager for Medical Office,Healthcare Administration,Up to $20 an hour,"Niagara Falls, NY 14304","The candidate will be responsible for growing the business, working alongside the Doctor and owner of the business, along with the Office Manager.",Niagara Primary Care,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager,Healthcare Administration,$12 - $16 an hour,"Summerville, SC 29485","Proven work experience as a medical office manager.Order medical and office supplies.As a medical office manager, you should demonstrate excellent…",Beach Medical Weight Loss - Summerville,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager,Healthcare Administration,$12 - $16 an hour,"West Columbia, SC 29169","Proven work experience as a medical office manager.Order medical and office supplies.As a medical office manager, you should demonstrate excellent…",Beach Medical Weight Loss - Lexington,5/31/21,United States,Medical office manager,Indeed
"""KID-FRIENDLY"" MEDICAL OFFICE MANAGER WANTED",Healthcare Administration,$15 - $20 an hour,"El Paso, TX 79902 (Golden Hills area)","Proven work experience as a medical office manager.Order medical and office supplies as needed.As a medical office manager, you should demonstrate excellent…",Children's Eye Center of El Paso,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager,Healthcare Administration,None,"Forney, TX","The office manager is responsible for overseeing all things related to office administration, staff leadership, and customer service.",Tots N Teens Pediatrics,5/31/21,United States,Medical office manager,Indeed
"Medical Biller, Assistant Office Manager",Healthcare Administration,$15 - $18 an hour,"Okemos, MI 48864","Minimum high school diploma and related experience or equivalent combination of education and experience in billing/collection in medical/medical-related field,…",Stokosa Prosthetic Clinic,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager/Medical Assistant,Healthcare Administration,$15 an hour,"Chicago, IL",Knowledge of medical office management systems and procedures.Proven working experience as a medical assistant or medical secretary.,ADVANCED CANCER CLINIC LTD,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager/Medical Admin,Healthcare Administration,$18 - $25 an hour,"San Diego, CA 92120 (College East area)",Proven work experience as a medical office manager.Order medical and office supplies.Medical Office Manager Job Summary Responsible for the operations and…,Dr. A. Shamani INC,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager/Medical Assistant,Healthcare Administration,$12 - $17 an hour,"Canton, MI 48187",Working knowledge of medical terminology.Support clinical staff and maintain office environment.Greet and escort patients to appropriate area in office.,eCare health Clinic,5/31/21,United States,Medical office manager,Indeed
Medical Assistant/Office Manager,Healthcare Administration,None,"Loves Park, IL 61111","Maintain office supplies and equipment.Answer phones, various office duties.Must have experience as a Medical Assistant and office work.","East Bank Center, LLC",5/31/21,United States,Medical office manager,Indeed
Front Office Manager / Medical Assistant / Unit Secretary,Healthcare Administration,None,"Cherry Hill, NJ 08034",Entry level - great opportunity to gain experience in the medical field.Checking patient lists for accuracy and handling any subsequent issue.,Affinity Healthcare Group,5/31/21,United States,Medical office manager,Indeed
Medical Front Office Manager,Healthcare Administration,$15 - $17 an hour,"West Jordan, UT 84084",General office cleaning/mild maintenance.Ensure accuracy on electronic medical record notes entered by Therapists.Enroll new Client's into services.,"Clinical Consultants, LLC",5/31/21,United States,Medical office manager,Indeed
